period,wrk2id,wrk1id,w1,w2,e1,e2,pubwage
9,115,113,1,2,1,0,1
9,112,116,1,1,2,3,1
9,102,111,2,2,1,1,1
9,110,107,0,4,0,0,1
9,101,109,1,1,1,0,1
9,108,105,1,3,0,2,1
10,102,107,2,1,0,0,1
10,108,109,2,2,2,0,1
10,110,116,2,2,2,1,1
10,115,105,1,3,1,1,1
10,112,111,2,2,1,2,1
10,101,113,1,2,0,0,1
11,108,107,2,2,0,2,0
11,102,113,2,2,2,1,0
11,112,105,1,3,0,3,0
11,115,109,0,4,0,2,0
11,101,116,0,2,0,1,0
11,110,111,2,2,0,0,0
12,101,105,1,3,0,0,0
12,102,116,2,1,2,0,0
12,112,107,1,3,0,3,0
12,108,111,2,2,2,1,0
12,115,109,1,3,1,0,0
12,110,113,1,3,0,0,0
13,102,109,3,1,3,1,0
13,108,105,1,1,0,0,0
13,115,113,1,3,1,0,0
13,112,116,0,4,0,3,0
13,110,107,2,2,0,0,0
13,101,111,1,2,0,1,0
14,101,113,2,1,1,0,0
14,115,111,1,2,1,1,0
14,112,105,1,3,0,3,0
14,108,107,0,3,0,2,0
14,102,109,0,2,0,1,0
14,110,116,0,4,3,0,0
15,115,111,0,4,0,0,0
15,108,113,1,1,1,0,0
15,102,109,1,3,1,2,0
15,101,105,0,2,0,0,0
15,112,116,2,2,3,2,0
15,110,107,1,2,0,0,0
16,101,111,1,1,0,0,0
16,102,109,1,2,1,1,0
16,110,105,1,3,1,0,0
16,115,107,0,3,0,1,0
16,108,116,2,2,3,2,0
16,112,113,3,1,0,1,0
17,108,113,0,2,0,1,0
17,102,111,2,0,2,0,0
17,115,107,1,3,0,1,0
17,110,109,0,3,0,0,0
17,112,105,1,3,1,3,0
17,101,116,2,2,3,0,0
18,112,105,0,2,0,2,0
18,102,113,2,0,2,0,0
18,108,116,1,2,2,1,0
18,115,111,0,4,0,2,0
18,101,107,2,2,0,0,0
18,110,109,0,0,0,0,0
19,112,107,1,2,0,2,0
19,115,105,1,2,0,0,0
19,102,116,1,2,2,1,0
19,110,113,0,4,1,0,0
19,101,109,1,3,1,0,0
19,108,111,1,1,0,0,0
20,112,111,1,2,1,1,0
20,110,107,2,0,0,0,0
20,101,116,1,2,2,0,0
20,108,109,0,4,0,3,0
20,115,105,0,2,0,0,0
20,102,113,0,4,0,2,0
21,101,116,2,2,2,0,0
21,110,113,1,2,1,0,0
21,112,105,1,2,0,1,0
21,108,111,0,3,0,1,0
21,115,107,0,0,0,0,0
21,102,109,0,4,0,2,0
22,108,113,0,3,0,2,0
22,112,105,2,0,3,0,0
